job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Principal Technical Manager,Inetum Morocco,Agadir,11200 MAD/month,Internship,8+ years,Bachelor's Degree,"Leadership, System Architecture, Technical Strategy, Project Management, Team Management",Exciting opportunity for a Principal Technical Manager in Agadir.,2025-12-18,Generated
IT Support Specialist,Niji Morocco,Mohammedia,13100 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Windows, Hardware, Technical Support, Troubleshooting",Exciting opportunity for a IT Support Specialist in Mohammedia.,2025-11-03,Generated
Database Administrator,Sqli Morocco,Kenitra,16200 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Oracle, Backup & Recovery, Replication, Security",Great opportunity for career growth as a Database Administrator.,2025-12-02,Generated
Lead Business Development Manager,Oracle Morocco,Beni Mellal,7400 MAD/month,Internship,8+ years,Master's Degree,"Lead Generation, Negotiation, Market Analysis, Client Relations",Seeking an experienced Lead Business Development Manager for innovative projects.,2025-12-05,Generated
Staff Maintenance Technician,Valeo Morocco,Tangier,25400 MAD/month,Contract,5-8 years,Bachelor's Degree,"Preventive Maintenance, Hydraulics, Electrical Systems, Mechanical Systems, Equipment Repair, Safety Procedures",Seeking an experienced Staff Maintenance Technician for innovative projects.,2025-11-08,Generated
Mobile Developer,Intelcia,Tetouan,15900 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Mobile UI, React Native, Android, Git",Exciting opportunity for a Mobile Developer in Tetouan.,2025-11-26,Generated
Compliance Officer,SAP Morocco,Casablanca,19400 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Legal Knowledge, Reporting, Compliance, Ethics",Join our dynamic team as a Compliance Officer.,2025-12-18,Generated
Staff Web Developer,Boeing Morocco,Safi,25700 MAD/month,Full-time,10+ years,Master's Degree,"Bootstrap, Responsive Design, Git, HTML, CSS, JavaScript",We are looking for a talented Staff Web Developer to join our growing team.,2025-11-25,Generated
Systems Analyst,CIH Bank,Rabat,19900 MAD/month,Full-time,2-4 years,Master's Degree,"Technical Writing, Systems Design, Documentation, Requirements Analysis",Great opportunity for career growth as a Systems Analyst.,2025-11-11,Generated
Graphic Designer,Maroc Telecom,Tangier,10200 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Creative Thinking, Adobe Photoshop, Branding, Layout Design, Visual Communication, Adobe Illustrator",Exciting opportunity for a Graphic Designer in Tangier.,2025-11-27,Generated
Account Manager,Dell Technologies,Tetouan,16800 MAD/month,Part-time,10+ years,Master's Degree,"Communication, Strategic Planning, Negotiation, Problem Solving",Seeking an experienced Account Manager for innovative projects.,2025-12-06,Generated
Cloud Engineer,Vivo Energy,Kenitra,20800 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Kubernetes, Docker, Terraform, Python, Cloud Security, AWS",We are looking for a talented Cloud Engineer to join our growing team.,2025-11-05,Generated
Staff Test Engineer,Deloitte Morocco,Mohammedia,24800 MAD/month,Full-time,10+ years,Bachelor's Degree,"Selenium, Testing, API Testing, Test Automation, Test Cases, Bug Tracking",Join our dynamic team as a Staff Test Engineer.,2025-11-11,Generated
Web Developer,Centrale Danone,Kenitra,20700 MAD/month,Full-time,3-5 years,Master's Degree,"jQuery, HTML, CSS, Responsive Design, Bootstrap",Great opportunity for career growth as a Web Developer.,2025-12-12,Generated
Aerospace Engineer,McKinsey Morocco,Meknes,24700 MAD/month,Full-time,2-4 years,Master's Degree,"Aerodynamics, Manufacturing Processes, Quality Control, Testing, Structural Analysis",Seeking an experienced Aerospace Engineer for innovative projects.,2025-11-11,Generated
Business Development Manager,Sumitomo Morocco,El Jadida,21800 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Market Analysis, Lead Generation, Business Development, Contract Management, Communication",Seeking an experienced Business Development Manager for innovative projects.,2025-11-07,Generated
Junior Industrial Engineer,BNP Paribas Morocco,El Jadida,13000 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Cost Analysis, Six Sigma, Project Management, AutoCAD, Production Planning",Exciting opportunity for a Junior Industrial Engineer in El Jadida.,2025-11-24,Generated
Technical Manager,ONEE,Tangier,18600 MAD/month,Full-time,8+ years,Master's Degree,"Project Management, Technical Strategy, Communication, Mentoring",Great opportunity for career growth as a Technical Manager.,2025-11-23,Generated
Lead Quality Engineer,Wafa Assurance,Kenitra,15700 MAD/month,Part-time,8+ years,Master's Degree,"Auditing, Statistical Analysis, Quality Control, Process Improvement",Great opportunity for career growth as a Lead Quality Engineer.,2025-11-29,Generated
Recruiter,Airbus Morocco,Rabat,19800 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Employer Branding, HR Policies, Negotiation, Talent Acquisition, Interviewing, LinkedIn",Join our dynamic team as a Recruiter.,2025-12-22,Generated
QA Engineer,Fujikura Morocco,Rabat,14500 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Selenium, API Testing, Bug Tracking, JIRA, Testing",Join our dynamic team as a QA Engineer.,2025-11-07,Generated
Electronics Technician,Delphi Morocco,Mohammedia,10500 MAD/month,Full-time,2-5 years,Diploma,"Electronics, Testing, Troubleshooting, Technical Documentation",Great opportunity for career growth as a Electronics Technician.,2025-11-12,Generated
Mobile Developer,Valeo Morocco,Casablanca,19400 MAD/month,Full-time,2-4 years,Master's Degree,"Android, React Native, Git, REST API, Firebase",Exciting opportunity for a Mobile Developer in Casablanca.,2025-11-20,Generated
Help Desk Analyst,HP Morocco,Mohammedia,5600 MAD/month,Internship,2-5 years,Bachelor's Degree,"Active Directory, Remote Support, Troubleshooting, Windows, Technical Support",We are looking for a talented Help Desk Analyst to join our growing team.,2025-11-26,Generated
Full Stack Developer,Umanis Morocco,Safi,32400 MAD/month,Contract,3-5 years,Master's Degree,"Python, Docker, REST API, SQL, Node.js",Seeking an experienced Full Stack Developer for innovative projects.,2025-11-08,Generated
Junior HR Manager,CDG Capital,Oujda,15600 MAD/month,Full-time,1-3 years,Master's Degree,"Compensation & Benefits, Employee Relations, Conflict Resolution, Leadership, HR Management",We are looking for a talented Junior HR Manager to join our growing team.,2025-11-02,Generated
Risk Analyst,ADM,Kenitra,11600 MAD/month,Full-time,3-5 years,Bachelor's Degree,"SQL, Excel, Reporting, Risk Management",Great opportunity for career growth as a Risk Analyst.,2025-11-12,Generated
Product Designer,Orange Morocco,Khouribga,13800 MAD/month,Full-time,3-5 years,Bachelor's Degree,"User Research, Design Systems, UX Design, Interaction Design, Wireframing, Figma",Great opportunity for career growth as a Product Designer.,2025-12-12,Generated
Principal Security Engineer,DHL Morocco,Kenitra,22700 MAD/month,Full-time,10+ years,Master's Degree,"Firewall, Penetration Testing, SIEM, Encryption",Exciting opportunity for a Principal Security Engineer in Kenitra.,2025-12-22,Generated
Staff Mechanical Engineer,Collins Aerospace,Tangier,16400 MAD/month,Full-time,5-8 years,Master's Degree,"Project Management, AutoCAD, SolidWorks, ANSYS",Exciting opportunity for a Staff Mechanical Engineer in Tangier.,2025-11-11,Generated
Junior Compliance Officer,CIH Bank,Tangier,7100 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Compliance, Documentation, Auditing, Ethics",Join our dynamic team as a Junior Compliance Officer.,2025-11-07,Generated
Data Engineer,Stellantis Morocco,Beni Mellal,9200 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Airflow, AWS, PostgreSQL, Data Modeling",Great opportunity for career growth as a Data Engineer.,2025-12-06,Generated
Staff Project Manager,Dell Technologies,Casablanca,12100 MAD/month,Part-time,10+ years,Bachelor's Degree,"Communication, Project Management, Scrum, Stakeholder Management",We are looking for a talented Staff Project Manager to join our growing team.,2025-12-29,Generated
Lead Maintenance Technician,Inwi,Safi,17100 MAD/month,Full-time,5+ years,Master's Degree,"Technical Documentation, Hydraulics, Equipment Repair, Electrical Systems",Join our dynamic team as a Lead Maintenance Technician.,2025-11-24,Generated
Lead Project Manager,Valeo Morocco,Mohammedia,61800 MAD/month,Contract,8+ years,Bachelor's Degree,"PMP, Scrum, Budgeting, MS Project",We are looking for a talented Lead Project Manager to join our growing team.,2025-12-08,Generated
Junior Technical Manager,Zodiac Aerospace,Safi,11600 MAD/month,Full-time,0-2 years,Master's Degree,"Project Management, Budgeting, Mentoring, Communication, Team Management, Leadership",Join our dynamic team as a Junior Technical Manager.,2025-11-29,Generated
Lab Technician,Accenture Morocco,El Jadida,7600 MAD/month,Full-time,2-5 years,Diploma,"Laboratory Techniques, Safety Procedures, Quality Control, Technical Documentation, Equipment Calibration",Join our dynamic team as a Lab Technician.,2025-12-27,Generated
UX/UI Designer,Niji Morocco,Mohammedia,16600 MAD/month,Full-time,2-4 years,Master's Degree,"Prototyping, Usability Testing, User Research, Responsive Design, UI Design",Exciting opportunity for a UX/UI Designer in Mohammedia.,2025-10-31,Generated
Electronics Technician,Attijariwafa Bank,Agadir,8200 MAD/month,Full-time,2-4 years,Diploma,"Embedded Systems, Testing, Soldering, Troubleshooting, Technical Documentation, Electronics",Exciting opportunity for a Electronics Technician in Agadir.,2025-12-30,Generated
Maintenance Technician,Thales Morocco,Casablanca,6900 MAD/month,Internship,2-4 years,Bachelor's Degree,"Electrical Systems, Troubleshooting, Mechanical Systems, Preventive Maintenance, Safety Procedures",Great opportunity for career growth as a Maintenance Technician.,2025-12-10,Generated
Electrical Engineer,Orange Morocco,Casablanca,26800 MAD/month,Contract,2-5 years,Master's Degree,"Electrical Safety, Circuit Design, Industrial Automation, Power Systems, AutoCAD Electrical",Join our dynamic team as a Electrical Engineer.,2025-12-24,Generated
Staff Mobile Developer,ONCF,Beni Mellal,49400 MAD/month,Contract,10+ years,Bachelor's Degree,"Android, Kotlin, REST API, Swift, Flutter",We are looking for a talented Staff Mobile Developer to join our growing team.,2025-11-24,Generated
Staff Web Developer,Unilever Morocco,Mohammedia,21700 MAD/month,Full-time,10+ years,Bachelor's Degree,"CSS, PHP, jQuery, MySQL",Exciting opportunity for a Staff Web Developer in Mohammedia.,2025-12-05,Generated
Lead Chemical Engineer,Matis Aerospace,Fes,12200 MAD/month,Internship,8+ years,Master's Degree,"Chemical Processes, Safety Management, Quality Control, Plant Design, Materials Science",Join our dynamic team as a Lead Chemical Engineer.,2025-12-01,Generated
Mobile Developer,Transcom Morocco,Oujda,10800 MAD/month,Part-time,2-4 years,Bachelor's Degree,"Flutter, Mobile UI, Swift, React Native",Exciting opportunity for a Mobile Developer in Oujda.,2025-12-27,Generated
Principal Civil Engineer,Safran Morocco,Casablanca,20300 MAD/month,Full-time,10+ years,Master's Degree,"Building Codes, Cost Estimation, Civil 3D, Site Supervision",Seeking an experienced Principal Civil Engineer for innovative projects.,2025-12-22,Generated
Principal Business Analyst,Sitel Morocco,Kenitra,15800 MAD/month,Full-time,5-8 years,Master's Degree,"Documentation, Stakeholder Management, JIRA, Business Process Modeling, Agile, Requirements Analysis",Great opportunity for career growth as a Principal Business Analyst.,2025-11-26,Generated
Junior Security Engineer,Niji Morocco,Oujda,8400 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Linux, SIEM, Incident Response, Encryption, Security Audit",Join our dynamic team as a Junior Security Engineer.,2025-11-21,Generated
Test Engineer,Vivo Energy,Safi,22900 MAD/month,Full-time,2-5 years,Master's Degree,"Agile, Testing, API Testing, Performance Testing, QA",Seeking an experienced Test Engineer for innovative projects.,2025-11-24,Generated
Junior Lab Technician,Boeing Morocco,Khouribga,16800 MAD/month,Full-time,0-1 years,Diploma,"Data Analysis, Laboratory Techniques, Quality Control, Testing",Seeking an experienced Junior Lab Technician for innovative projects.,2025-11-30,Generated
Principal Industrial Engineer,Atlanta Assurances,Beni Mellal,47200 MAD/month,Contract,8+ years,Bachelor's Degree,"Production Planning, Quality Control, Process Optimization, Supply Chain, Project Management",Join our dynamic team as a Principal Industrial Engineer.,2025-11-07,Generated
Junior Electronics Technician,Sopra Steria,Beni Mellal,3800 MAD/month,Full-time,0-2 years,Diploma,"Technical Documentation, Troubleshooting, Multimeter, Soldering, Testing",Seeking an experienced Junior Electronics Technician for innovative projects.,2025-12-13,Generated
Chemical Engineer,CIH Bank,Marrakech,26200 MAD/month,Contract,2-4 years,Bachelor's Degree,"Troubleshooting, Materials Science, Plant Design, Process Simulation",Great opportunity for career growth as a Chemical Engineer.,2025-11-02,Generated
Junior Product Designer,Atlanta Assurances,Meknes,7300 MAD/month,Contract,0-2 years,Bachelor's Degree,"Interaction Design, Prototyping, Product Design, Usability Testing",Join our dynamic team as a Junior Product Designer.,2025-11-17,Generated
Mechanical Engineer,BMCE Bank,El Jadida,11300 MAD/month,Internship,2-5 years,Bachelor's Degree,"Project Management, AutoCAD, SolidWorks, Thermodynamics, Mechanical Design, Materials Science",Join our dynamic team as a Mechanical Engineer.,2025-11-30,Generated
Senior Automotive Engineer,HP Morocco,Marrakech,18600 MAD/month,Full-time,8+ years,Bachelor's Degree,"Manufacturing, Quality Control, Testing, Project Management, Materials Science, CATIA",Join our dynamic team as a Senior Automotive Engineer.,2025-12-12,Generated
Civil Engineer,Hexcel Morocco,Mohammedia,16100 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Construction Management, Site Supervision, AutoCAD, Revit, Cost Estimation, Structural Design",We are looking for a talented Civil Engineer to join our growing team.,2025-11-12,Generated
Staff Automotive Engineer,Vivo Energy,Kenitra,8000 MAD/month,Internship,5-8 years,Bachelor's Degree,"Supply Chain, Automotive Design, Testing, Quality Control",Great opportunity for career growth as a Staff Automotive Engineer.,2025-11-27,Generated
Principal Automotive Engineer,Nokia Morocco,Marrakech,21700 MAD/month,Contract,8+ years,Bachelor's Degree,"Manufacturing, Materials Science, Project Management, Problem Solving",Great opportunity for career growth as a Principal Automotive Engineer.,2025-12-01,Generated
Senior HR Manager,Marsa Maroc,Khouribga,33100 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Communication, Recruitment, Conflict Resolution, Compensation & Benefits, Training & Development",Exciting opportunity for a Senior HR Manager in Khouribga.,2025-11-07,Generated
Graphic Designer,Roland Berger,Agadir,13400 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Adobe Illustrator, Graphic Design, Layout Design, Creative Thinking",Join our dynamic team as a Graphic Designer.,2025-11-30,Generated
Quality Engineer,Orange Morocco,Tetouan,13900 MAD/month,Part-time,3-5 years,Master's Degree,"Statistical Analysis, Quality Management, Auditing, Documentation",We are looking for a talented Quality Engineer to join our growing team.,2025-11-04,Generated
Lead Project Manager,CIH Bank,El Jadida,39200 MAD/month,Part-time,5-8 years,Master's Degree,"PMP, Leadership, Communication, Scrum, Risk Management",We are looking for a talented Lead Project Manager to join our growing team.,2025-11-05,Generated
Security Engineer,Wafa Assurance,Marrakech,11000 MAD/month,Contract,3-5 years,Bachelor's Degree,"Network Security, Cybersecurity, Firewall, Encryption, Incident Response",We are looking for a talented Security Engineer to join our growing team.,2025-11-09,Generated
Senior Mobile Developer,Somaca,Meknes,19900 MAD/month,Internship,8+ years,Master's Degree,"Swift, React Native, Firebase, Flutter, Git, Kotlin",Seeking an experienced Senior Mobile Developer for innovative projects.,2025-11-16,Generated
Senior Product Designer,Deloitte Morocco,Fes,26700 MAD/month,Full-time,5-8 years,Bachelor's Degree,"UX Design, Figma, Product Design, Prototyping, Interaction Design, Design Systems",Great opportunity for career growth as a Senior Product Designer.,2025-11-09,Generated
DevOps Engineer,SAP Morocco,Beni Mellal,27700 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Jenkins, CI/CD, Docker, Terraform",Great opportunity for career growth as a DevOps Engineer.,2025-12-04,Generated
Financial Analyst,Wafa Assurance,Marrakech,11600 MAD/month,Internship,3-5 years,Master's Degree,"SQL, SAP, Risk Analysis, Budgeting",We are looking for a talented Financial Analyst to join our growing team.,2025-11-24,Generated
Junior Data Engineer,Sqli Morocco,Safi,12200 MAD/month,Full-time,0-2 years,Bachelor's Degree,"Git, AWS, ETL, Data Modeling",Great opportunity for career growth as a Junior Data Engineer.,2025-12-09,Generated
Principal System Administrator,CTM Morocco,Khouribga,26600 MAD/month,Full-time,8+ years,Master's Degree,"Security, VMware, Networking, Linux, Bash, Monitoring",Seeking an experienced Principal System Administrator for innovative projects.,2025-11-29,Generated
Lead Chemical Engineer,Tanger Med Port,Agadir,19400 MAD/month,Full-time,8+ years,Bachelor's Degree,"Troubleshooting, Plant Design, Chemical Processes, Materials Science, Safety Management",Great opportunity for career growth as a Lead Chemical Engineer.,2025-12-22,Generated
Senior Systems Engineer,Vivo Energy,Fes,10600 MAD/month,Internship,5+ years,Master's Degree,"Windows Server, Automation, Linux, Troubleshooting, Docker, Scripting",Join our dynamic team as a Senior Systems Engineer.,2025-12-04,Generated
Lead Full Stack Developer,Schneider Electric,Beni Mellal,13100 MAD/month,Part-time,8+ years,Master's Degree,"React, Node.js, Python, Docker, SQL",We are looking for a talented Lead Full Stack Developer to join our growing team.,2025-11-08,Generated
Network Engineer,PSA Morocco,Meknes,17900 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Network Security, Troubleshooting, Firewall, TCP/IP",Seeking an experienced Network Engineer for innovative projects.,2025-12-27,Generated
Staff Scrum Master,Valeo Morocco,Safi,14100 MAD/month,Contract,10+ years,Bachelor's Degree,"Team Leadership, Stakeholder Management, Conflict Resolution, Agile",Great opportunity for career growth as a Staff Scrum Master.,2025-12-13,Generated
Network Engineer,BMCE Bank,Khouribga,11400 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Switching, Routing, VPN, Cisco",Exciting opportunity for a Network Engineer in Khouribga.,2025-11-29,Generated
Lead UX/UI Designer,GE Aviation Morocco,Safi,13300 MAD/month,Full-time,5+ years,Master's Degree,"User Research, Figma, UX Design, Prototyping",Great opportunity for career growth as a Lead UX/UI Designer.,2025-12-05,Generated
Database Administrator,HP Morocco,Tangier,6100 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Monitoring, PostgreSQL, Oracle, Database Design, Backup & Recovery",We are looking for a talented Database Administrator to join our growing team.,2025-11-05,Generated
UX/UI Designer,Fujikura Morocco,Meknes,17600 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Prototyping, User Research, UI Design, Adobe XD, Design Thinking",Exciting opportunity for a UX/UI Designer in Meknes.,2025-11-08,Generated
Financial Analyst,ONEE,El Jadida,16600 MAD/month,Full-time,3-5 years,Master's Degree,"Financial Modeling, Financial Analysis, Risk Analysis, SAP, Power BI",Exciting opportunity for a Financial Analyst in El Jadida.,2025-12-28,Generated
Staff Test Engineer,Cisco Morocco,Kenitra,9200 MAD/month,Part-time,5-8 years,Bachelor's Degree,"Selenium, Test Automation, Test Cases, Bug Tracking, JIRA",Exciting opportunity for a Staff Test Engineer in Kenitra.,2025-11-13,Generated
Full Stack Developer,ONEE,Mohammedia,23900 MAD/month,Full-time,2-5 years,Bachelor's Degree,"REST API, Python, Agile, SQL, React, JavaScript",Great opportunity for career growth as a Full Stack Developer.,2025-12-11,Generated
Lead DevOps Engineer,Capgemini Morocco,Safi,16400 MAD/month,Full-time,5-8 years,Master's Degree,"CI/CD, Ansible, Terraform, Jenkins, Linux",Exciting opportunity for a Lead DevOps Engineer in Safi.,2025-12-13,Generated
Cloud Engineer,Inwi,Meknes,23500 MAD/month,Full-time,2-5 years,Master's Degree,"Docker, Kubernetes, Networking, GCP, AWS, Cloud Security",We are looking for a talented Cloud Engineer to join our growing team.,2025-11-01,Generated
Senior Compliance Officer,Bain & Company Morocco,Marrakech,47200 MAD/month,Contract,8+ years,Master's Degree,"Regulatory Requirements, Compliance, Policy Development, Legal Knowledge, Auditing",Join our dynamic team as a Senior Compliance Officer.,2025-12-11,Generated
Senior IT Technician,Huawei Morocco,Tangier,16900 MAD/month,Part-time,8+ years,Bachelor's Degree,"Installation, Help Desk, Network Support, Active Directory",Seeking an experienced Senior IT Technician for innovative projects.,2025-11-12,Generated
Lead Cloud Engineer,Intelcia,Beni Mellal,15400 MAD/month,Part-time,8+ years,Master's Degree,"Cloud Security, Linux, Kubernetes, Terraform",We are looking for a talented Lead Cloud Engineer to join our growing team.,2025-12-15,Generated
Frontend Developer,ABB Morocco,Marrakech,19300 MAD/month,Full-time,2-5 years,Master's Degree,"Vue.js, HTML, UI/UX, TypeScript, React, Git",Great opportunity for career growth as a Frontend Developer.,2025-11-20,Generated
Junior Mobile Developer,Atos Morocco,Safi,10500 MAD/month,Full-time,1-3 years,Bachelor's Degree,"REST API, Firebase, Android, Kotlin",Seeking an experienced Junior Mobile Developer for innovative projects.,2025-11-05,Generated
Staff Frontend Developer,Delphi Morocco,Kenitra,42600 MAD/month,Full-time,8+ years,Bachelor's Degree,"Angular, TypeScript, Responsive Design, JavaScript, HTML, UI/UX",We are looking for a talented Staff Frontend Developer to join our growing team.,2025-11-25,Generated
Senior Backend Developer,DHL Morocco,Oujda,17900 MAD/month,Internship,8+ years,Master's Degree,"SQL, REST API, Git, Node.js",Seeking an experienced Senior Backend Developer for innovative projects.,2025-12-15,Generated
Operations Manager,DHL Morocco,Marrakech,23100 MAD/month,Full-time,8+ years,Master's Degree,"Leadership, Team Management, Operations Management, KPI Management, Continuous Improvement",Great opportunity for career growth as a Operations Manager.,2025-12-08,Generated
IT Support Specialist,CTM Morocco,Tetouan,9300 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Windows, Remote Support, Documentation, Customer Service",Exciting opportunity for a IT Support Specialist in Tetouan.,2025-11-17,Generated
Principal Software Engineer,OCP Group,Tangier,63600 MAD/month,Full-time,8+ years,Master's Degree,"Python, REST API, Java, Docker",Seeking an experienced Principal Software Engineer for innovative projects.,2025-11-04,Generated
Lead HR Manager,Lear Corporation,Casablanca,29900 MAD/month,Full-time,5-8 years,Master's Degree,"HR Management, Conflict Resolution, Training & Development, Leadership, Labor Law",Exciting opportunity for a Lead HR Manager in Casablanca.,2025-11-13,Generated
Lead Account Manager,Thales Morocco,Oujda,16900 MAD/month,Full-time,5-8 years,Master's Degree,"Account Management, CRM, Upselling, Problem Solving, Sales, Client Relations",Join our dynamic team as a Lead Account Manager.,2025-12-30,Generated
Junior Account Manager,Majorel Morocco,Rabat,11900 MAD/month,Full-time,0-2 years,Bachelor's Degree,"Communication, CRM, Upselling, Client Relations",Exciting opportunity for a Junior Account Manager in Rabat.,2025-11-17,Generated
Junior Project Manager,Boeing Morocco,Tetouan,4700 MAD/month,Internship,1-3 years,Bachelor's Degree,"Budgeting, Project Management, Stakeholder Management, Scrum, Communication, MS Project",We are looking for a talented Junior Project Manager to join our growing team.,2025-11-15,Generated
Account Manager,BMCE Bank,Mohammedia,19200 MAD/month,Part-time,10+ years,Master's Degree,"CRM, Client Relations, Strategic Planning, Upselling, Account Management",Join our dynamic team as a Account Manager.,2025-12-16,Generated
Senior Data Scientist,Sqli Morocco,Safi,32500 MAD/month,Part-time,8+ years,Master's Degree,"Data Analysis, Tableau, Pandas, NumPy",Seeking an experienced Senior Data Scientist for innovative projects.,2025-12-03,Generated
Civil Engineer,BDO Morocco,Safi,9700 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Structural Design, Site Supervision, Building Codes, Civil 3D, AutoCAD",Exciting opportunity for a Civil Engineer in Safi.,2025-11-23,Generated
Graphic Designer,Boeing Morocco,Rabat,8000 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Layout Design, Creative Thinking, Graphic Design, Visual Communication, Adobe Photoshop, Typography",Great opportunity for career growth as a Graphic Designer.,2025-12-08,Generated
Senior System Administrator,Nestlé Morocco,Marrakech,26200 MAD/month,Full-time,5+ years,Master's Degree,"Networking, Active Directory, Bash, PowerShell, Backup, VMware",Exciting opportunity for a Senior System Administrator in Marrakech.,2025-11-13,Generated
Mobile Developer,Nestlé Morocco,Casablanca,22000 MAD/month,Full-time,2-5 years,Master's Degree,"Android, Firebase, Flutter, REST API, Git",Great opportunity for career growth as a Mobile Developer.,2025-12-02,Generated
Mobile Developer,BMCE Bank,Meknes,10000 MAD/month,Internship,3-5 years,Bachelor's Degree,"REST API, Swift, Git, iOS, Firebase, Mobile UI",Seeking an experienced Mobile Developer for innovative projects.,2025-12-25,Generated
Lead Test Engineer,Oracle Morocco,Beni Mellal,21200 MAD/month,Contract,5-8 years,Master's Degree,"Agile, Bug Tracking, Test Automation, Performance Testing, API Testing, JIRA",Join our dynamic team as a Lead Test Engineer.,2025-11-09,Generated
Product Manager,Teleperformance Morocco,Fes,27600 MAD/month,Full-time,5+ years,Master's Degree,"Agile, Product Strategy, Communication, Prioritization, Analytics, Stakeholder Management",Great opportunity for career growth as a Product Manager.,2025-11-22,Generated
Backend Developer,Yazaki Morocco,Rabat,28900 MAD/month,Contract,2-4 years,Bachelor's Degree,"PostgreSQL, Java, Node.js, Microservices",Join our dynamic team as a Backend Developer.,2025-12-03,Generated
Principal Account Manager,ADM,Casablanca,23200 MAD/month,Full-time,5-8 years,Master's Degree,"Strategic Planning, Problem Solving, CRM, Client Relations",Seeking an experienced Principal Account Manager for innovative projects.,2025-10-31,Generated
Senior Electronics Technician,Bain & Company Morocco,El Jadida,23300 MAD/month,Contract,8+ years,Master's Degree,"Technical Documentation, Troubleshooting, Soldering, Electronics, Embedded Systems, Circuit Analysis",We are looking for a talented Senior Electronics Technician to join our growing team.,2025-12-18,Generated
Senior Lab Technician,Afriquia,Tetouan,17300 MAD/month,Full-time,8+ years,Master's Degree,"Laboratory Techniques, Data Analysis, Safety Procedures, Quality Control, Testing, Sample Preparation",Great opportunity for career growth as a Senior Lab Technician.,2025-11-12,Generated
IT Support Specialist,Cisco Morocco,Casablanca,13000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Ticketing Systems, Remote Support, Technical Support, Windows, Documentation",Seeking an experienced IT Support Specialist for innovative projects.,2025-12-23,Generated
DevOps Engineer,Attijariwafa Bank,Kenitra,30200 MAD/month,Full-time,2-4 years,Master's Degree,"Jenkins, Terraform, AWS, Ansible, CI/CD",Great opportunity for career growth as a DevOps Engineer.,2025-12-07,Generated
Senior Frontend Developer,AXA Morocco,Marrakech,19100 MAD/month,Part-time,5+ years,Bachelor's Degree,"TypeScript, Responsive Design, HTML, Angular",Great opportunity for career growth as a Senior Frontend Developer.,2025-12-20,Generated
Backend Developer,Inetum Morocco,Kenitra,20400 MAD/month,Full-time,3-5 years,Bachelor's Degree,"REST API, Git, Node.js, Redis, SQL, Python",Exciting opportunity for a Backend Developer in Kenitra.,2025-10-31,Generated
Financial Analyst,Sopra Steria,Fes,18100 MAD/month,Contract,2-4 years,Bachelor's Degree,"Financial Analysis, Risk Analysis, SQL, Financial Modeling, SAP, Power BI",Great opportunity for career growth as a Financial Analyst.,2025-11-29,Generated
Web Developer,Lydec,Fes,7000 MAD/month,Internship,3-5 years,Master's Degree,"Responsive Design, PHP, HTML, Git, Bootstrap",Seeking an experienced Web Developer for innovative projects.,2025-12-22,Generated
Product Manager,SAP Morocco,Casablanca,48100 MAD/month,Full-time,5-8 years,Master's Degree,"Product Strategy, Analytics, Communication, Prioritization",Join our dynamic team as a Product Manager.,2025-12-01,Generated
Lead Graphic Designer,BMCI,Casablanca,11200 MAD/month,Internship,5-8 years,Master's Degree,"Creative Thinking, Adobe Illustrator, Branding, InDesign, Graphic Design, Visual Communication",Seeking an experienced Lead Graphic Designer for innovative projects.,2025-12-25,Generated
Staff Training Specialist,ZTE Morocco,El Jadida,18300 MAD/month,Full-time,5-8 years,Bachelor's Degree,"E-Learning, Instructional Design, Training & Development, Evaluation, Needs Assessment, Curriculum Development",We are looking for a talented Staff Training Specialist to join our growing team.,2025-12-13,Generated
Principal Data Engineer,Aptiv Morocco,Rabat,17700 MAD/month,Part-time,10+ years,Master's Degree,"Git, SQL, PostgreSQL, AWS",Join our dynamic team as a Principal Data Engineer.,2025-11-06,Generated
