reference,type,transaction,price,surface,price_per_sqm,rooms,bathrooms,floor,city,neighborhood,condition,age,amenities,description,listing_date
MA-CAS-34363,Appartement,Vente,2685993,171,15707,5,1,7,Casablanca,Gauthier,Excellent état,0,"Ascenseur, Chauffage, Parking, Placard, Terrasse, Vue montagne",Appartement spacieux avec 5 chambres à Casablanca,2025-08-10
MA-RAB-74215,Villa,Location,3803009,211,18023,4,2,0,Rabat,Medina,Très bon état,13,"Ascenseur, Cave, Chauffage, Cuisine équipée, Parking, Placard, Sécurité","Villa de 211m² situé à Medina, Rabat",2025-10-10
MA-RAB-98645,Studio,Vente,444034,25,17761,1,1,4,Rabat,Hassan,Excellent état,21,"Balcon, Cave, Cuisine équipée, Parking, Sécurité, Vue montagne","Studio de 25m² situé à Hassan, Rabat",2025-09-17
MA-CAS-96393,Appartement,Vente,2528177,174,14529,1,2,12,Casablanca,Sidi Maarouf,Excellent état,28,"Ascenseur, Cave, Climatisation, Concierge, Garage, Jardin",Magnifique appartement en excellent état à Sidi Maarouf,2025-07-27
MA-FÈS-83703,Studio,Location,411223,36,11422,1,1,0,Fès,Saiss,Neuf,40,"Balcon, Cave, Cuisine équipée, Garage, Piscine, Sécurité",Magnifique studio en neuf à Saiss,2025-12-10
MA-RAB-35823,Appartement,Location,3142230,208,15106,4,2,5,Rabat,Souissi,Très bon état,14,"Ascenseur, Cave, Garage, Placard, Sécurité, Terrasse, Vue mer",Appartement spacieux avec 4 chambres à Rabat,2025-08-17
MA-CAS-15565,Villa,Location,6349247,410,15485,5,2,0,Casablanca,Anfa,Neuf,20,"Cave, Chauffage, Cuisine équipée, Jardin, Piscine, Placard, Vue montagne",Magnifique villa en neuf à Anfa,2025-12-21
MA-SAL-75406,Villa,Location,8347937,405,20612,6,2,0,Salé,Laayayda,Bon état,40,"Balcon, Cave, Piscine, Placard, Sécurité",Beau villa dans le quartier recherché de Laayayda,2025-08-16
MA-RAB-60891,Villa,Vente,5293883,323,16389,7,3,0,Rabat,Aviation,Excellent état,7,"Ascenseur, Jardin, Sécurité, Terrasse",Beau villa dans le quartier recherché de Aviation,2025-08-12
MA-CAS-10058,Maison,Vente,2094946,158,13259,2,1,0,Casablanca,California,Excellent état,13,"Chauffage, Garage, Placard, Vue montagne",Beau maison dans le quartier recherché de California,2025-07-06
MA-FÈS-54672,Maison,Vente,1550722,132,11747,2,2,0,Fès,Saiss,Excellent état,17,"Ascenseur, Chauffage, Cuisine équipée, Garage, Jardin, Parking",Maison spacieux avec 2 chambres à Fès,2025-10-07
MA-RAB-36438,Appartement,Vente,2059431,133,15484,5,1,3,Rabat,Medina,Très bon état,12,"Ascenseur, Cave, Chauffage, Vue montagne","Appartement de 133m² situé à Medina, Rabat",2025-07-31
MA-CAS-14827,Appartement,Vente,686473,59,11635,5,1,8,Casablanca,Sidi Maarouf,Excellent état,39,"Balcon, Parking, Piscine",Beau appartement dans le quartier recherché de Sidi Maarouf,2025-09-01
MA-CAS-88470,Studio,Vente,673331,46,14637,1,1,11,Casablanca,Anfa,Neuf,17,"Concierge, Parking, Placard, Vue mer",Studio spacieux avec 1 chambres à Casablanca,2025-11-09
MA-TAN-91411,Duplex,Location,2393177,188,12729,3,2,11,Tanger,Mesnana,Très bon état,36,"Balcon, Climatisation, Garage, Piscine, Placard, Sécurité, Vue montagne","Duplex de 188m² situé à Mesnana, Tanger",2025-09-12
MA-MAR-58710,Appartement,Location,2842000,220,12918,1,2,3,Marrakech,Menara,Très bon état,30,"Ascenseur, Chauffage, Concierge, Cuisine équipée, Jardin, Parking, Vue mer, Vue montagne",Appartement moderne de 220m² à Marrakech,2025-10-08
MA-RAB-44495,Villa,Location,4660556,309,15082,7,2,0,Rabat,Medina,Très bon état,20,"Cave, Climatisation, Concierge",Villa spacieux avec 7 chambres à Rabat,2025-09-07
MA-CAS-97131,Appartement,Vente,2213837,175,12650,1,2,4,Casablanca,California,Neuf,1,"Parking, Piscine, Placard, Sécurité",Magnifique appartement en neuf à California,2025-08-13
MA-MAR-97315,Villa,Vente,4854401,288,16855,7,2,0,Marrakech,Palmeraie,À rénover,12,"Ascenseur, Balcon, Chauffage, Climatisation, Cuisine équipée, Parking, Terrasse, Vue mer",Villa moderne de 288m² à Marrakech,2025-07-23
MA-RAB-95221,Maison,Vente,1917128,199,9633,4,2,0,Rabat,Souissi,À rénover,14,"Ascenseur, Cave, Chauffage, Climatisation, Concierge, Cuisine équipée, Garage, Placard",Maison moderne de 199m² à Rabat,2025-11-23
MA-KEN-61387,Studio,Location,366324,32,11447,1,1,5,Kenitra,Medina,À rénover,35,"Ascenseur, Climatisation, Parking","Studio de 32m² situé à Medina, Kenitra",2025-10-25
MA-AGA-59267,Villa,Vente,9618167,428,22472,5,2,0,Agadir,Secteur Touristique,Très bon état,17,"Garage, Parking, Piscine, Placard, Terrasse, Vue montagne",Magnifique villa en très bon état à Secteur Touristique,2025-12-14
MA-OUJ-79810,Appartement,Location,779146,119,6547,3,2,4,Oujda,Sidi Yahya,Neuf,4,"Balcon, Chauffage, Concierge, Cuisine équipée","Appartement de 119m² situé à Sidi Yahya, Oujda",2025-08-10
MA-CAS-16957,Appartement,Vente,600446,44,13646,2,1,11,Casablanca,Hay Mohammadi,Très bon état,0,"Balcon, Chauffage, Concierge, Garage, Parking, Piscine, Placard, Sécurité",Appartement spacieux avec 2 chambres à Casablanca,2025-09-29
MA-AGA-81265,Maison,Location,2235960,188,11893,5,1,0,Agadir,Tilila,Neuf,15,"Balcon, Climatisation, Concierge, Garage, Piscine, Terrasse, Vue mer","Maison de 188m² situé à Tilila, Agadir",2025-09-04
MA-TÉT-79867,Maison,Location,1795378,188,9549,4,1,0,Tétouan,Al Azhar,Bon état,23,"Ascenseur, Balcon, Cave, Chauffage, Parking, Sécurité, Vue mer","Maison de 188m² situé à Al Azhar, Tétouan",2025-09-04
MA-CAS-30431,Villa,Vente,6856890,468,14651,3,2,0,Casablanca,Maarif,À rénover,40,"Balcon, Climatisation, Concierge, Piscine, Terrasse",Beau villa dans le quartier recherché de Maarif,2025-10-16
MA-FÈS-12899,Villa,Vente,10577186,598,17687,6,3,0,Fès,Zouagha,Neuf,27,"Cuisine équipée, Sécurité, Terrasse","Villa de 598m² situé à Zouagha, Fès",2025-11-25
MA-CAS-85931,Appartement,Vente,3652548,219,16678,3,2,10,Casablanca,Maarif,Excellent état,24,"Cuisine équipée, Parking, Piscine, Sécurité, Vue mer",Appartement moderne de 219m² à Casablanca,2025-11-07
MA-CAS-76570,Villa,Location,4131067,163,25343,5,3,0,Casablanca,Anfa,Neuf,26,"Climatisation, Garage, Jardin, Piscine",Magnifique villa en neuf à Anfa,2025-11-06
MA-MEK-25519,Appartement,Vente,508482,71,7161,4,2,6,Meknès,Marjane,Excellent état,9,"Ascenseur, Jardin, Piscine, Placard, Sécurité",Appartement moderne de 71m² à Meknès,2025-10-13
MA-CAS-27994,Maison,Location,2174685,132,16474,6,2,0,Casablanca,Sidi Maarouf,Très bon état,6,"Cave, Concierge, Garage",Maison moderne de 132m² à Casablanca,2025-09-10
MA-TAN-56091,Villa,Vente,3212628,161,19954,8,4,0,Tanger,Boubana,À rénover,18,"Ascenseur, Chauffage, Cuisine équipée, Piscine, Placard",Villa spacieux avec 8 chambres à Tanger,2025-10-18
MA-MAR-36739,Appartement,Vente,1805324,147,12281,5,1,2,Marrakech,Sidi Youssef Ben Ali,Bon état,38,"Jardin, Parking, Terrasse",Appartement spacieux avec 5 chambres à Marrakech,2025-10-27
MA-FÈS-29324,Maison,Vente,1114734,104,10718,5,2,0,Fès,Medina,Très bon état,7,"Cave, Cuisine équipée, Terrasse",Maison moderne de 104m² à Fès,2025-09-14
MA-RAB-48362,Appartement,Location,1959437,151,12976,1,2,4,Rabat,Kamra,Neuf,40,"Balcon, Climatisation, Garage, Jardin, Parking, Piscine, Sécurité","Appartement de 151m² situé à Kamra, Rabat",2025-10-07
MA-MEK-39487,Appartement,Location,1427136,180,7928,2,1,10,Meknès,Hamria,Très bon état,11,"Cuisine équipée, Garage, Parking, Placard, Sécurité",Appartement moderne de 180m² à Meknès,2025-11-20
MA-RAB-81119,Maison,Location,3381162,280,12075,6,1,0,Rabat,Agdal,Neuf,17,"Jardin, Parking, Vue montagne",Magnifique maison en neuf à Agdal,2025-11-09
MA-RAB-81965,Studio,Vente,435234,45,9671,1,1,12,Rabat,Hassan,Neuf,29,"Cave, Chauffage, Concierge, Cuisine équipée, Jardin, Piscine, Sécurité","Studio de 45m² situé à Hassan, Rabat",2025-07-27
MA-CAS-49597,Villa,Vente,11821629,444,26625,5,3,0,Casablanca,Gauthier,Très bon état,12,"Ascenseur, Cave, Cuisine équipée, Piscine, Placard, Terrasse",Beau villa dans le quartier recherché de Gauthier,2025-07-19
MA-FÈS-96292,Maison,Vente,1659484,136,12202,3,1,0,Fès,Zouagha,Neuf,0,"Climatisation, Cuisine équipée, Placard",Magnifique maison en neuf à Zouagha,2025-12-09
MA-TÉT-81557,Maison,Vente,1057018,102,10362,4,2,0,Tétouan,Msallah,Bon état,22,"Garage, Jardin, Placard, Vue mer",Beau maison dans le quartier recherché de Msallah,2025-08-01
MA-RAB-70000,Villa,Vente,3755666,241,15583,4,2,0,Rabat,Agdal,Excellent état,14,"Ascenseur, Cuisine équipée, Garage, Vue montagne",Beau villa dans le quartier recherché de Agdal,2025-07-31
MA-FÈS-21766,Maison,Vente,2097152,223,9404,2,1,0,Fès,Florence,Neuf,35,"Ascenseur, Balcon, Climatisation",Maison spacieux avec 2 chambres à Fès,2025-12-23
MA-OUJ-72144,Appartement,Vente,800025,78,10256,1,2,0,Oujda,Angad,À rénover,18,"Cave, Placard, Sécurité, Vue mer, Vue montagne",Appartement spacieux avec 1 chambres à Oujda,2025-12-15
MA-FÈS-31768,Appartement,Location,2767975,186,14881,2,2,1,Fès,Route Ain Chkef,À rénover,26,"Balcon, Climatisation, Concierge, Jardin, Vue montagne",Appartement moderne de 186m² à Fès,2025-10-06
MA-RAB-77037,Villa,Vente,5680493,385,14754,8,2,0,Rabat,Yacoub El Mansour,À rénover,39,"Climatisation, Concierge, Garage","Villa de 385m² situé à Yacoub El Mansour, Rabat",2025-12-06
MA-CAS-50748,Appartement,Location,1081123,64,16892,5,1,8,Casablanca,Bourgogne,Excellent état,26,"Cave, Chauffage, Climatisation, Concierge, Cuisine équipée, Placard",Appartement moderne de 64m² à Casablanca,2025-12-27
MA-CAS-12950,Studio,Vente,380122,33,11518,1,1,11,Casablanca,Ain Diab,Très bon état,23,"Balcon, Cave, Cuisine équipée, Garage",Beau studio dans le quartier recherché de Ain Diab,2025-12-04
MA-RAB-47260,Maison,Location,1343730,88,15269,4,1,0,Rabat,Yacoub El Mansour,Bon état,35,"Balcon, Cave, Chauffage, Piscine, Terrasse",Maison spacieux avec 4 chambres à Rabat,2025-08-17
MA-MAR-50574,Appartement,Vente,606502,47,12904,2,1,1,Marrakech,Menara,Bon état,7,"Jardin, Placard, Vue mer",Beau appartement dans le quartier recherché de Menara,2025-12-04
MA-MAR-15208,Duplex,Location,2150346,167,12876,4,1,10,Marrakech,Daoudiat,À rénover,12,"Cave, Chauffage, Jardin",Duplex spacieux avec 4 chambres à Marrakech,2025-10-21
MA-TAN-81518,Villa,Vente,2288149,151,15153,6,4,0,Tanger,Centre Ville,Bon état,10,"Ascenseur, Chauffage, Placard, Terrasse","Villa de 151m² situé à Centre Ville, Tanger",2025-07-11
MA-CAS-89843,Appartement,Vente,1591408,91,17488,2,1,3,Casablanca,Anfa,Excellent état,7,"Chauffage, Climatisation, Concierge, Parking, Placard, Sécurité, Vue mer, Vue montagne",Appartement moderne de 91m² à Casablanca,2025-11-14
MA-OUJ-49419,Appartement,Vente,1679621,200,8398,2,1,4,Oujda,Hay Hassani,Excellent état,19,"Concierge, Jardin, Placard, Sécurité, Vue montagne","Appartement de 200m² situé à Hay Hassani, Oujda",2025-08-11
MA-RAB-30876,Appartement,Vente,1280449,93,13768,5,1,8,Rabat,Yacoub El Mansour,Bon état,28,"Ascenseur, Concierge, Cuisine équipée, Placard, Sécurité, Vue montagne",Beau appartement dans le quartier recherché de Yacoub El Mansour,2025-08-14
MA-MEK-39971,Riad,Vente,7091080,408,17380,4,4,0,Meknès,Saada,Très bon état,24,"Chauffage, Piscine, Placard, Sécurité, Terrasse, Vue mer, Vue montagne",Magnifique riad en très bon état à Saada,2025-10-10
MA-MEK-59081,Appartement,Location,617641,78,7918,4,2,1,Meknès,Riad,Excellent état,25,"Climatisation, Piscine, Placard, Sécurité, Vue mer, Vue montagne",Appartement spacieux avec 4 chambres à Meknès,2025-08-30
MA-FÈS-60489,Appartement,Location,2081256,244,8529,4,2,10,Fès,Ville Nouvelle,Bon état,1,"Ascenseur, Balcon, Concierge, Garage, Placard, Vue mer, Vue montagne","Appartement de 244m² situé à Ville Nouvelle, Fès",2025-07-11
MA-RAB-34006,Studio,Vente,752621,48,15679,1,1,12,Rabat,Aviation,À rénover,22,"Cave, Cuisine équipée, Terrasse, Vue mer",Magnifique studio en à rénover à Aviation,2025-11-19
MA-FÈS-80995,Appartement,Vente,1658703,243,6825,2,2,5,Fès,Bensouda,À rénover,1,"Ascenseur, Cuisine équipée, Sécurité, Vue mer",Appartement spacieux avec 2 chambres à Fès,2025-08-04
MA-TAN-29391,Villa,Vente,9502076,411,23119,8,2,0,Tanger,Medina,À rénover,13,"Balcon, Cuisine équipée, Garage, Jardin, Parking, Piscine, Placard",Villa moderne de 411m² à Tanger,2025-11-26
MA-MEK-79601,Duplex,Vente,2630793,173,15206,4,2,6,Meknès,Bassatine,Neuf,14,"Balcon, Climatisation, Terrasse","Duplex de 173m² situé à Bassatine, Meknès",2025-12-17
MA-CAS-32585,Appartement,Vente,643312,69,9323,5,1,9,Casablanca,Ain Diab,Neuf,11,"Ascenseur, Cave, Chauffage, Climatisation, Concierge, Cuisine équipée, Vue mer, Vue montagne",Magnifique appartement en neuf à Ain Diab,2025-12-18
MA-RAB-52001,Appartement,Vente,2131762,225,9474,4,1,3,Rabat,Aviation,Excellent état,30,"Chauffage, Climatisation, Cuisine équipée, Jardin, Placard, Vue montagne","Appartement de 225m² situé à Aviation, Rabat",2025-12-30
MA-TAN-43961,Maison,Vente,958456,109,8793,4,1,0,Tanger,Ibn Batouta,Excellent état,4,"Ascenseur, Chauffage, Climatisation, Concierge, Piscine, Sécurité, Vue mer","Maison de 109m² situé à Ibn Batouta, Tanger",2025-12-27
MA-AGA-13390,Villa,Location,11002155,481,22873,4,3,0,Agadir,Ben Sergao,Bon état,21,"Cave, Climatisation, Concierge, Cuisine équipée, Jardin, Vue montagne",Beau villa dans le quartier recherché de Ben Sergao,2025-07-21
MA-FÈS-14733,Villa,Vente,4641366,253,18345,8,3,0,Fès,Atlas,Très bon état,2,"Balcon, Cave, Piscine, Placard",Magnifique villa en très bon état à Atlas,2025-12-07
MA-CAS-49488,Appartement,Vente,3785203,197,19214,2,1,7,Casablanca,Anfa,À rénover,33,"Ascenseur, Balcon, Cave, Climatisation, Garage, Sécurité, Terrasse",Magnifique appartement en à rénover à Anfa,2025-09-03
MA-TAN-59635,Appartement,Vente,2255542,237,9517,1,2,7,Tanger,Ibn Batouta,Très bon état,10,"Chauffage, Jardin, Placard, Sécurité, Vue mer, Vue montagne","Appartement de 237m² situé à Ibn Batouta, Tanger",2025-10-23
MA-CAS-67488,Maison,Location vacances,1551743,126,12315,2,2,0,Casablanca,Hay Mohammadi,Neuf,29,"Cave, Chauffage, Cuisine équipée, Jardin, Parking, Sécurité, Vue mer, Vue montagne",Beau maison dans le quartier recherché de Hay Mohammadi,2025-12-16
MA-RAB-54920,Appartement,Vente,2347058,130,18054,2,1,5,Rabat,Aviation,Neuf,7,"Balcon, Cave, Cuisine équipée, Piscine, Placard, Sécurité, Terrasse, Vue mer",Beau appartement dans le quartier recherché de Aviation,2025-11-28
MA-MAR-22905,Maison,Vente,4509021,268,16824,2,1,0,Marrakech,Medina,À rénover,30,"Ascenseur, Chauffage, Climatisation, Concierge, Parking, Piscine, Placard, Terrasse","Maison de 268m² situé à Medina, Marrakech",2025-08-28
MA-TAN-84720,Riad,Vente,6766468,330,20504,5,2,0,Tanger,Medina,À rénover,33,"Chauffage, Concierge, Cuisine équipée, Sécurité, Terrasse",Riad moderne de 330m² à Tanger,2025-09-11
MA-AGA-42741,Villa,Location,8976630,585,15344,8,2,0,Agadir,Founty,Excellent état,30,"Balcon, Chauffage, Climatisation, Concierge, Jardin, Placard, Terrasse",Beau villa dans le quartier recherché de Founty,2025-07-26
MA-RAB-58149,Appartement,Location vacances,4523723,243,18616,3,2,11,Rabat,Hassan,Bon état,4,"Chauffage, Concierge, Garage, Parking, Sécurité, Vue mer",Appartement moderne de 243m² à Rabat,2025-09-01
MA-CAS-92870,Maison,Vente,3052769,293,10419,2,1,0,Casablanca,Palmier,Bon état,11,"Ascenseur, Balcon, Cave, Concierge, Parking, Piscine, Sécurité, Vue montagne",Maison spacieux avec 2 chambres à Casablanca,2025-09-02
MA-CAS-92758,Appartement,Location,1870108,107,17477,1,1,1,Casablanca,Hay Mohammadi,Bon état,31,"Ascenseur, Cuisine équipée, Jardin, Parking, Sécurité, Vue montagne",Magnifique appartement en bon état à Hay Mohammadi,2025-10-02
MA-RAB-22411,Maison,Vente,1658803,131,12662,4,1,0,Rabat,Hassan,Bon état,37,"Cave, Jardin, Terrasse","Maison de 131m² situé à Hassan, Rabat",2025-11-22
MA-AGA-94631,Villa,Vente,7632278,417,18302,3,4,0,Agadir,Talborjt,Très bon état,36,"Cave, Cuisine équipée, Parking","Villa de 417m² situé à Talborjt, Agadir",2025-11-12
MA-FÈS-49982,Villa,Vente,2986538,261,11442,5,2,0,Fès,Medina,À rénover,33,"Climatisation, Concierge, Placard",Villa moderne de 261m² à Fès,2025-09-06
MA-AGA-33410,Appartement,Vente,1234330,79,15624,5,1,5,Agadir,Hay Dakhla,Excellent état,31,"Balcon, Cuisine équipée, Jardin, Placard, Terrasse, Vue montagne","Appartement de 79m² situé à Hay Dakhla, Agadir",2025-07-12
MA-MEK-99302,Villa,Vente,1988132,172,11558,5,3,0,Meknès,Toulal,Bon état,9,"Cave, Parking, Sécurité, Terrasse","Villa de 172m² situé à Toulal, Meknès",2025-07-12
MA-CAS-30137,Appartement,Location,1071801,119,9006,1,1,3,Casablanca,Palmier,Excellent état,24,"Climatisation, Cuisine équipée, Garage, Sécurité, Vue mer",Magnifique appartement en excellent état à Palmier,2025-07-14
MA-TAN-21441,Villa,Vente,3585085,302,11871,5,4,0,Tanger,Malabata,Neuf,29,"Climatisation, Cuisine équipée, Garage, Jardin, Parking, Piscine, Placard",Villa spacieux avec 5 chambres à Tanger,2025-12-01
MA-MAR-62827,Studio,Location,561643,43,13061,1,1,11,Marrakech,Sidi Youssef Ben Ali,Excellent état,24,"Balcon, Climatisation, Cuisine équipée, Piscine, Terrasse, Vue montagne",Beau studio dans le quartier recherché de Sidi Youssef Ben Ali,2025-10-17
MA-CAS-85037,Appartement,Vente,2077402,151,13757,2,1,10,Casablanca,Gauthier,Bon état,38,"Ascenseur, Balcon, Chauffage, Cuisine équipée, Piscine, Placard, Terrasse, Vue montagne",Appartement spacieux avec 2 chambres à Casablanca,2025-12-19
MA-TÉT-67067,Studio,Vente,356516,36,9903,1,1,9,Tétouan,Mellaliyine,À rénover,31,"Balcon, Cave, Concierge, Parking, Vue montagne",Studio moderne de 36m² à Tétouan,2025-08-29
MA-SAL-85322,Appartement,Vente,2056887,146,14088,4,2,1,Salé,Bettana,Très bon état,21,"Ascenseur, Balcon, Climatisation, Cuisine équipée, Jardin, Terrasse, Vue mer, Vue montagne","Appartement de 146m² situé à Bettana, Salé",2025-08-08
MA-FÈS-16244,Appartement,Location,747528,104,7187,2,2,6,Fès,Medina,Excellent état,37,"Ascenseur, Balcon, Cuisine équipée, Jardin, Parking, Piscine, Placard, Sécurité",Beau appartement dans le quartier recherché de Medina,2025-07-29
MA-KEN-88927,Appartement,Vente,302859,47,6443,4,2,3,Kenitra,Aviation,Excellent état,27,"Balcon, Cave, Chauffage, Climatisation, Concierge, Cuisine équipée, Piscine",Appartement spacieux avec 4 chambres à Kenitra,2025-08-26
MA-OUJ-66163,Villa,Location,4567528,442,10333,6,3,0,Oujda,Sidi Maâfa,À rénover,1,"Balcon, Cave, Climatisation, Concierge, Placard, Terrasse",Beau villa dans le quartier recherché de Sidi Maâfa,2025-10-17
MA-TAN-89939,Villa,Location,9375011,456,20559,4,4,0,Tanger,Rmilat,Excellent état,4,"Balcon, Chauffage, Climatisation, Parking, Terrasse, Vue mer, Vue montagne",Beau villa dans le quartier recherché de Rmilat,2025-11-04
MA-CAS-91589,Villa,Vente,12212274,463,26376,8,4,0,Casablanca,Anfa,Bon état,32,"Balcon, Climatisation, Concierge, Garage, Vue montagne",Beau villa dans le quartier recherché de Anfa,2025-10-05
MA-RAB-44461,Appartement,Vente,1604970,87,18447,1,1,6,Rabat,Kamra,Excellent état,4,"Balcon, Chauffage, Climatisation, Concierge, Parking, Piscine, Vue mer",Appartement moderne de 87m² à Rabat,2025-11-19
MA-TAN-35356,Appartement,Location,2474223,218,11349,3,1,1,Tanger,Gzenaya,Bon état,26,"Climatisation, Jardin, Placard, Vue mer",Appartement moderne de 218m² à Tanger,2025-09-10
MA-CAS-57632,Appartement,Vente,2443698,180,13576,1,1,1,Casablanca,Maarif,Bon état,15,"Cave, Cuisine équipée, Garage, Placard, Terrasse",Beau appartement dans le quartier recherché de Maarif,2025-09-30
MA-AGA-52080,Studio,Vente,278680,30,9289,1,1,0,Agadir,Tilila,Bon état,26,"Chauffage, Climatisation, Parking, Vue mer","Studio de 30m² situé à Tilila, Agadir",2025-12-17
MA-CAS-44436,Appartement,Vente,601778,42,14328,1,2,6,Casablanca,Bourgogne,Excellent état,24,"Ascenseur, Cuisine équipée, Jardin, Piscine, Terrasse, Vue mer, Vue montagne",Beau appartement dans le quartier recherché de Bourgogne,2025-12-23
MA-AGA-91818,Appartement,Vente,1334597,94,14197,1,2,2,Agadir,Hay Dakhla,À rénover,37,"Ascenseur, Cuisine équipée, Jardin, Vue montagne","Appartement de 94m² situé à Hay Dakhla, Agadir",2025-10-29
MA-TÉT-44399,Villa,Vente,4855581,240,20231,8,2,0,Tétouan,Msallah,Excellent état,26,"Ascenseur, Balcon, Cave, Concierge, Jardin, Parking, Piscine, Terrasse","Villa de 240m² situé à Msallah, Tétouan",2025-09-25
MA-FÈS-18048,Villa,Vente,5836100,390,14964,7,4,0,Fès,Ville Nouvelle,Très bon état,27,"Ascenseur, Cave, Chauffage, Piscine","Villa de 390m² situé à Ville Nouvelle, Fès",2025-07-04
MA-TAN-83439,Villa,Location,7836703,417,18793,7,2,0,Tanger,California,À rénover,7,"Ascenseur, Chauffage, Climatisation, Concierge, Garage, Placard, Vue montagne","Villa de 417m² situé à California, Tanger",2025-11-15
MA-TAN-50643,Appartement,Vente,2597149,210,12367,2,2,7,Tanger,Branes,Excellent état,8,"Balcon, Garage, Parking, Sécurité, Vue montagne",Magnifique appartement en excellent état à Branes,2025-09-20
MA-KEN-68230,Villa,Location,11613629,590,19684,8,2,0,Kenitra,Hay Essalam,Neuf,35,"Ascenseur, Balcon, Cave, Concierge, Cuisine équipée, Garage, Vue montagne",Beau villa dans le quartier recherché de Hay Essalam,2025-08-04
MA-FÈS-47543,Studio,Vente,277279,27,10269,1,1,10,Fès,Saiss,Neuf,33,"Cave, Concierge, Cuisine équipée, Garage, Sécurité",Studio spacieux avec 1 chambres à Fès,2025-07-23
MA-RAB-73768,Maison,Vente,2245755,207,10849,6,1,0,Rabat,Yacoub El Mansour,Bon état,0,"Ascenseur, Cave, Chauffage, Parking, Vue mer","Maison de 207m² situé à Yacoub El Mansour, Rabat",2025-11-18
MA-TÉT-11708,Maison,Vente,2573316,224,11488,6,2,0,Tétouan,M'diq,Bon état,1,"Ascenseur, Cave, Climatisation, Concierge, Cuisine équipée, Jardin, Terrasse, Vue mer",Beau maison dans le quartier recherché de M'diq,2025-11-29
MA-AGA-74671,Duplex,Location,2453408,187,13119,3,1,0,Agadir,Talborjt,Très bon état,6,"Ascenseur, Concierge, Cuisine équipée, Jardin, Parking, Sécurité, Vue mer",Magnifique duplex en très bon état à Talborjt,2025-08-27
MA-CAS-87477,Maison,Vente,1576531,149,10580,6,2,0,Casablanca,Hay Mohammadi,Neuf,39,"Ascenseur, Balcon, Garage, Parking, Piscine, Sécurité, Terrasse, Vue montagne","Maison de 149m² situé à Hay Mohammadi, Casablanca",2025-12-13
MA-FÈS-97045,Villa,Vente,4267759,289,14767,5,4,0,Fès,Ville Nouvelle,Neuf,26,"Ascenseur, Climatisation, Cuisine équipée",Villa spacieux avec 5 chambres à Fès,2025-11-04
MA-MAR-85101,Maison,Location,3734738,224,16672,3,1,0,Marrakech,Daoudiat,À rénover,23,"Balcon, Chauffage, Garage",Maison spacieux avec 3 chambres à Marrakech,2025-08-16
MA-MEK-59229,Appartement,Location vacances,1704298,168,10144,4,2,6,Meknès,Ville Nouvelle,Bon état,33,"Ascenseur, Balcon, Chauffage, Climatisation, Garage, Piscine, Terrasse, Vue montagne","Appartement de 168m² situé à Ville Nouvelle, Meknès",2025-08-12
MA-KEN-45567,Villa,Vente,3001893,166,18083,7,2,0,Kenitra,Saniat Rmel,Bon état,28,"Balcon, Chauffage, Placard, Vue montagne",Villa moderne de 166m² à Kenitra,2025-07-26
MA-RAB-31021,Appartement,Vente,2796717,148,18896,3,2,10,Rabat,Medina,Excellent état,11,"Cave, Chauffage, Cuisine équipée, Jardin, Parking, Terrasse","Appartement de 148m² situé à Medina, Rabat",2025-07-28
MA-CAS-11488,Villa,Vente,7778581,348,22352,8,2,0,Casablanca,Bourgogne,Excellent état,24,"Cuisine équipée, Parking, Piscine, Placard, Vue montagne",Beau villa dans le quartier recherché de Bourgogne,2025-09-28
MA-MAR-33378,Duplex,Location,1507025,106,14217,4,1,12,Marrakech,Gueliz,À rénover,13,"Chauffage, Climatisation, Piscine, Vue montagne",Beau duplex dans le quartier recherché de Gueliz,2025-12-18
MA-CAS-64965,Appartement,Vente,4375519,238,18384,3,2,10,Casablanca,Maarif,Excellent état,16,"Cave, Concierge, Cuisine équipée, Placard",Appartement spacieux avec 3 chambres à Casablanca,2025-09-16
MA-TAN-35528,Appartement,Vente,2737549,213,12852,3,1,6,Tanger,Mesnana,Excellent état,34,"Balcon, Chauffage, Garage, Jardin, Placard, Sécurité, Terrasse, Vue mer","Appartement de 213m² situé à Mesnana, Tanger",2025-12-29
MA-FÈS-67746,Maison,Vente,2296809,213,10783,5,1,0,Fès,Florence,À rénover,14,"Climatisation, Concierge, Parking, Placard, Sécurité",Beau maison dans le quartier recherché de Florence,2025-09-23
MA-CAS-27178,Maison,Location,3651810,241,15152,4,2,0,Casablanca,Bourgogne,Excellent état,25,"Ascenseur, Climatisation, Concierge, Cuisine équipée, Garage, Placard",Beau maison dans le quartier recherché de Bourgogne,2025-12-01
MA-CAS-44186,Appartement,Vente,2279316,141,16165,4,2,10,Casablanca,Anfa,Neuf,26,"Ascenseur, Balcon, Cave, Concierge, Jardin, Placard, Vue montagne",Appartement moderne de 141m² à Casablanca,2025-12-23
MA-KEN-84606,Duplex,Vente,1980058,130,15231,3,1,12,Kenitra,Medina,À rénover,24,"Ascenseur, Cave, Garage",Duplex moderne de 130m² à Kenitra,2025-08-27
MA-TAN-11755,Villa,Vente,12874574,569,22626,8,4,0,Tanger,Mesnana,À rénover,8,"Balcon, Concierge, Garage, Sécurité, Terrasse, Vue mer",Magnifique villa en à rénover à Mesnana,2025-12-25
